break_type,priority,account_id,currency,amount_bank,amount_internal,transaction_date_bank,transaction_date_internal,reference_id_bank,reference_id_internal,description_bank,description_internal,recommended_review_action,ai_exception_explanation,ai_recommended_next_step,draft_analyst_note
Amount Mismatch,High,ACC1003,CAD,16800.0,17000.0,2026-03-10,2026-03-10,REF0046,REF0046,Client funding received,Client funding received,Investigate source booking or adjustment causing amount mismatch.,"This exception appears to be an amount mismatch. The transaction reference and core details suggest the records are related, but the bank amount (16800.0) does not match the internal amount (17000.0). This may indicate a booking issue, adjustment, or partial posting.","Investigate the source booking, adjustment history, or transaction lifecycle to determine why the two amounts differ.","Amount mismatch flagged for account ACC1003. Reference REF0046 / REF0046 appears related across both sources, but the recorded amounts differ and require investigation."
Amount Mismatch,Medium,ACC1004,CAD,5400.0,5250.0,2026-03-11,2026-03-11,REF0047,REF0047,Cash deposit posted,Cash deposit posted,Investigate source booking or adjustment causing amount mismatch.,"This exception appears to be an amount mismatch. The transaction reference and core details suggest the records are related, but the bank amount (5400.0) does not match the internal amount (5250.0). This may indicate a booking issue, adjustment, or partial posting.","Investigate the source booking, adjustment history, or transaction lifecycle to determine why the two amounts differ.","Amount mismatch flagged for account ACC1004. Reference REF0047 / REF0047 appears related across both sources, but the recorded amounts differ and require investigation."
Missing in Internal Ledger,Low,ACC1002,CAD,4300.0,,2026-03-08,,REF0041,,Cash deposit posted,,"Verify whether internal booking is delayed, missing, or affected by feed issue.","This exception indicates that the transaction is present in the bank statement but missing from the internal ledger. This may suggest delayed internal booking, an upstream feed issue, or a missed manual entry.","Check whether internal booking is delayed or missing, and confirm whether upstream feeds or manual posting steps were completed.",Missing internal booking flagged for account ACC1002. Transaction reference REF0041 is visible in the bank statement but not in the internal ledger. Recommend checking booking status and feed completeness.
Missing in Internal Ledger,High,ACC1004,CAD,13600.0,,2026-03-09,,REF0042,,Treasury movement,,"Verify whether internal booking is delayed, missing, or affected by feed issue.","This exception indicates that the transaction is present in the bank statement but missing from the internal ledger. This may suggest delayed internal booking, an upstream feed issue, or a missed manual entry.","Check whether internal booking is delayed or missing, and confirm whether upstream feeds or manual posting steps were completed.",Missing internal booking flagged for account ACC1004. Transaction reference REF0042 is visible in the bank statement but not in the internal ledger. Recommend checking booking status and feed completeness.
Missing in Internal Ledger,Low,ACC1001,CAD,720.0,,2026-03-10,,REF0043,,Bank service fee,,"Verify whether internal booking is delayed, missing, or affected by feed issue.","This exception indicates that the transaction is present in the bank statement but missing from the internal ledger. This may suggest delayed internal booking, an upstream feed issue, or a missed manual entry.","Check whether internal booking is delayed or missing, and confirm whether upstream feeds or manual posting steps were completed.",Missing internal booking flagged for account ACC1001. Transaction reference REF0043 is visible in the bank statement but not in the internal ledger. Recommend checking booking status and feed completeness.
Missing in Internal Ledger,Low,ACC1005,CAD,8900.0,,2026-03-11,,REF0044,,Cash withdrawal processed,,"Verify whether internal booking is delayed, missing, or affected by feed issue.","This exception indicates that the transaction is present in the bank statement but missing from the internal ledger. This may suggest delayed internal booking, an upstream feed issue, or a missed manual entry.","Check whether internal booking is delayed or missing, and confirm whether upstream feeds or manual posting steps were completed.",Missing internal booking flagged for account ACC1005. Transaction reference REF0044 is visible in the bank statement but not in the internal ledger. Recommend checking booking status and feed completeness.
Missing in Bank Statement,High,ACC1001,CAD,,14500.0,,2026-03-08,,REF0037,,Vendor payment,Review external posting status and statement availability before escalation.,"This exception indicates that the transaction is present in the internal ledger but missing from the bank statement. This may reflect delayed external posting, statement timing differences, or incomplete statement availability.","Review external posting status, bank statement timing, and statement completeness before treating this as an unresolved break.",Missing external posting flagged for account ACC1001. Transaction reference REF0037 is visible in the internal ledger but not in the bank statement. Recommend reviewing statement timing and external posting status.
Missing in Bank Statement,Low,ACC1003,CAD,,6000.0,,2026-03-09,,REF0038,,Cash deposit posted,Review external posting status and statement availability before escalation.,"This exception indicates that the transaction is present in the internal ledger but missing from the bank statement. This may reflect delayed external posting, statement timing differences, or incomplete statement availability.","Review external posting status, bank statement timing, and statement completeness before treating this as an unresolved break.",Missing external posting flagged for account ACC1003. Transaction reference REF0038 is visible in the internal ledger but not in the bank statement. Recommend reviewing statement timing and external posting status.
Missing in Bank Statement,Low,ACC1004,CAD,,850.0,,2026-03-10,,REF0039,,Interest credit,Review external posting status and statement availability before escalation.,"This exception indicates that the transaction is present in the internal ledger but missing from the bank statement. This may reflect delayed external posting, statement timing differences, or incomplete statement availability.","Review external posting status, bank statement timing, and statement completeness before treating this as an unresolved break.",Missing external posting flagged for account ACC1004. Transaction reference REF0039 is visible in the internal ledger but not in the bank statement. Recommend reviewing statement timing and external posting status.
Missing in Bank Statement,High,ACC1005,CAD,,11700.0,,2026-03-10,,REF0040,,Client funding received,Review external posting status and statement availability before escalation.,"This exception indicates that the transaction is present in the internal ledger but missing from the bank statement. This may reflect delayed external posting, statement timing differences, or incomplete statement availability.","Review external posting status, bank statement timing, and statement completeness before treating this as an unresolved break.",Missing external posting flagged for account ACC1005. Transaction reference REF0040 is visible in the internal ledger but not in the bank statement. Recommend reviewing statement timing and external posting status.
