match_type,confidence_score,bank_transaction_id,ledger_transaction_id,account_id,currency,amount_bank,amount_internal,transaction_date_bank,transaction_date_internal,reference_id_bank,reference_id_internal,raw_reference_bank,raw_reference_internal,normalized_reference,counterparty_bank,counterparty_internal,description_bank,description_internal
Exact Match,1.0,BK-S000017-B1,LD-S000017-L1,ACC2001,USD,3553.86,3553.86,2026-03-12,2026-03-12,REF000017,REF000017,REF000017,REF000017,REF000017,North Ridge Treasury,North Ridge Treasury,Deposit - North Ridge Treasury,Deposit - North Ridge Treasury
Exact Match,1.0,BK-S000018-B1,LD-S000018-L1,ACC1002,CAD,13945.1,13945.1,2026-03-24,2026-03-24,REF000018,REF000018,REF000018,REF000018,REF000018,Bluewater Holdings,Bluewater Holdings,Wire Out - Bluewater Holdings,Wire Out - Bluewater Holdings
Exact Match,1.0,BK-S000019-B1,LD-S000019-L1,ACC1001,CAD,20959.97,20959.97,2026-03-24,2026-03-24,REF000019,REF000019,REF000019,REF000019,REF000019,North Ridge Treasury,North Ridge Treasury,Wire In - North Ridge Treasury,Wire In - North Ridge Treasury
Exact Match,1.0,BK-S000020-B1,LD-S000020-L1,ACC3001,CAD,20584.56,20584.56,2026-03-06,2026-03-06,REF000020,REF000020,REF000020,REF000020,REF000020,Evergreen Custody,Evergreen Custody,Wire In - Evergreen Custody,Wire In - Evergreen Custody
Exact Match,1.0,BK-S000021-B1,LD-S000021-L1,ACC3001,CAD,15558.25,15558.25,2026-03-17,2026-03-17,REF000021,REF000021,REF000021,REF000021,REF000021,Lakeview Partners,Lakeview Partners,Wire Out - Lakeview Partners,Wire Out - Lakeview Partners
Exact Match,1.0,BK-S000022-B1,LD-S000022-L1,ACC1002,CAD,17120.49,17120.49,2026-03-20,2026-03-20,REF000022,REF000022,REF000022,REF000022,REF000022,Pinebridge Vendor Services,Pinebridge Vendor Services,Withdrawal - Pinebridge Vendor Services,Withdrawal - Pinebridge Vendor Services
Exact Match,1.0,BK-S000023-B1,LD-S000023-L1,ACC1001,CAD,68.93,68.93,2026-03-15,2026-03-15,REF000023,REF000023,REF000023,REF000023,REF000023,Lakeview Partners,Lakeview Partners,Wire Out - Lakeview Partners,Wire Out - Lakeview Partners
Exact Match,1.0,BK-S000024-B1,LD-S000024-L1,ACC1001,CAD,110.66,110.66,2026-04-10,2026-04-10,REF000024,REF000024,REF000024,REF000024,REF000024,Bluewater Holdings,Bluewater Holdings,Withdrawal - Bluewater Holdings,Withdrawal - Bluewater Holdings
Exact Match,1.0,BK-S000025-B1,LD-S000025-L1,ACC1002,CAD,13941.61,13941.61,2026-04-12,2026-04-12,REF000025,REF000025,REF000025,REF000025,REF000025,Summit Client Account,Summit Client Account,Fee - Summit Client Account,Fee - Summit Client Account
Exact Match,1.0,BK-S000026-B1,LD-S000026-L1,ACC2002,USD,437.95,437.95,2026-03-07,2026-03-07,REF000026,REF000026,REF000026,REF000026,REF000026,RBC Banking Services,RBC Banking Services,Wire Out - RBC Banking Services,Wire Out - RBC Banking Services
Exact Match,1.0,BK-S000027-B1,LD-S000027-L1,ACC1001,CAD,3362.03,3362.03,2026-04-11,2026-04-11,REF000027,REF000027,REF000027,REF000027,REF000027,RBC Banking Services,RBC Banking Services,Withdrawal - RBC Banking Services,Withdrawal - RBC Banking Services
Exact Match,1.0,BK-S000028-B1,LD-S000028-L1,ACC1002,CAD,4364.38,4364.38,2026-03-13,2026-03-13,REF000028,REF000028,REF000028,REF000028,REF000028,Evergreen Custody,Evergreen Custody,Wire Out - Evergreen Custody,Wire Out - Evergreen Custody
Exact Match,1.0,BK-S000029-B1,LD-S000029-L1,ACC1001,CAD,636.93,636.93,2026-04-05,2026-04-05,REF000029,REF000029,REF000029,REF000029,REF000029,Bluewater Holdings,Bluewater Holdings,Interest - Bluewater Holdings,Interest - Bluewater Holdings
Exact Match,1.0,BK-S000030-B1,LD-S000030-L1,ACC1002,CAD,21751.61,21751.61,2026-04-01,2026-04-01,REF000030,REF000030,REF000030,REF000030,REF000030,Bluewater Holdings,Bluewater Holdings,Interest - Bluewater Holdings,Interest - Bluewater Holdings
Exact Match,1.0,BK-S000031-B1,LD-S000031-L1,ACC2002,USD,17718.2,17718.2,2026-03-30,2026-03-30,REF000031,REF000031,REF000031,REF000031,REF000031,Summit Client Account,Summit Client Account,Fee - Summit Client Account,Fee - Summit Client Account
Exact Match,1.0,BK-S000032-B1,LD-S000032-L1,ACC1002,CAD,2462.98,2462.98,2026-04-07,2026-04-07,REF000032,REF000032,REF000032,REF000032,REF000032,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000033-B1,LD-S000033-L1,ACC2002,USD,24058.69,24058.69,2026-04-03,2026-04-03,REF000033,REF000033,REF000033,REF000033,REF000033,Cedar Prime LP,Cedar Prime LP,Deposit - Cedar Prime LP,Deposit - Cedar Prime LP
Exact Match,1.0,BK-S000034-B1,LD-S000034-L1,ACC1001,CAD,23598.31,23598.31,2026-03-16,2026-03-16,REF000034,REF000034,REF000034,REF000034,REF000034,Lakeview Partners,Lakeview Partners,Withdrawal - Lakeview Partners,Withdrawal - Lakeview Partners
Exact Match,1.0,BK-S000035-B1,LD-S000035-L1,ACC3001,CAD,14565.45,14565.45,2026-03-27,2026-03-27,REF000035,REF000035,REF000035,REF000035,REF000035,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000036-B1,LD-S000036-L1,ACC2001,USD,17120.57,17120.57,2026-03-17,2026-03-17,REF000036,REF000036,REF000036,REF000036,REF000036,North Ridge Treasury,North Ridge Treasury,Wire Out - North Ridge Treasury,Wire Out - North Ridge Treasury
Exact Match,1.0,BK-S000037-B1,LD-S000037-L1,ACC1001,CAD,24906.31,24906.31,2026-04-09,2026-04-09,REF000037,REF000037,REF000037,REF000037,REF000037,Cedar Prime LP,Cedar Prime LP,Interest - Cedar Prime LP,Interest - Cedar Prime LP
Exact Match,1.0,BK-S000038-B1,LD-S000038-L1,ACC2001,USD,22102.49,22102.49,2026-03-23,2026-03-23,REF000038,REF000038,REF000038,REF000038,REF000038,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services
Exact Match,1.0,BK-S000039-B1,LD-S000039-L1,ACC3001,CAD,24693.59,24693.59,2026-03-20,2026-03-20,REF000039,REF000039,REF000039,REF000039,REF000039,Bluewater Holdings,Bluewater Holdings,Withdrawal - Bluewater Holdings,Withdrawal - Bluewater Holdings
Exact Match,1.0,BK-S000040-B1,LD-S000040-L1,ACC2001,USD,4222.99,4222.99,2026-03-07,2026-03-07,REF000040,REF000040,REF000040,REF000040,REF000040,Cedar Prime LP,Cedar Prime LP,Withdrawal - Cedar Prime LP,Withdrawal - Cedar Prime LP
Exact Match,1.0,BK-S000041-B1,LD-S000041-L1,ACC1002,CAD,18222.69,18222.69,2026-03-19,2026-03-19,REF000041,REF000041,REF000041,REF000041,REF000041,Lakeview Partners,Lakeview Partners,Fee - Lakeview Partners,Fee - Lakeview Partners
Exact Match,1.0,BK-S000042-B1,LD-S000042-L1,ACC3001,CAD,21306.49,21306.49,2026-03-17,2026-03-17,REF000042,REF000042,REF000042,REF000042,REF000042,Cedar Prime LP,Cedar Prime LP,Interest - Cedar Prime LP,Interest - Cedar Prime LP
Exact Match,1.0,BK-S000043-B1,LD-S000043-L1,ACC1001,CAD,16290.72,16290.72,2026-03-22,2026-03-22,REF000043,REF000043,REF000043,REF000043,REF000043,North Ridge Treasury,North Ridge Treasury,Wire In - North Ridge Treasury,Wire In - North Ridge Treasury
Exact Match,1.0,BK-S000044-B1,LD-S000044-L1,ACC3001,CAD,3684.97,3684.97,2026-03-28,2026-03-28,REF000044,REF000044,REF000044,REF000044,REF000044,Evergreen Custody,Evergreen Custody,Withdrawal - Evergreen Custody,Withdrawal - Evergreen Custody
Exact Match,1.0,BK-S000045-B1,LD-S000045-L1,ACC3001,CAD,2003.89,2003.89,2026-03-10,2026-03-10,REF000045,REF000045,REF000045,REF000045,REF000045,Pinebridge Vendor Services,Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services
Exact Match,1.0,BK-S000046-B1,LD-S000046-L1,ACC1002,CAD,14437.2,14437.2,2026-03-07,2026-03-07,REF000046,REF000046,REF000046,REF000046,REF000046,RBC Banking Services,RBC Banking Services,Withdrawal - RBC Banking Services,Withdrawal - RBC Banking Services
Exact Match,1.0,BK-S000047-B1,LD-S000047-L1,ACC1002,CAD,1594.87,1594.87,2026-03-12,2026-03-12,REF000047,REF000047,REF000047,REF000047,REF000047,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services,Wire Out - Pinebridge Vendor Services
Exact Match,1.0,BK-S000048-B1,LD-S000048-L1,ACC1002,CAD,3594.3,3594.3,2026-03-11,2026-03-11,REF000048,REF000048,REF000048,REF000048,REF000048,Bluewater Holdings,Bluewater Holdings,Fee - Bluewater Holdings,Fee - Bluewater Holdings
Exact Match,1.0,BK-S000049-B1,LD-S000049-L1,ACC2002,USD,21911.75,21911.75,2026-03-20,2026-03-20,REF000049,REF000049,REF000049,REF000049,REF000049,Lakeview Partners,Lakeview Partners,Fee - Lakeview Partners,Fee - Lakeview Partners
Exact Match,1.0,BK-S000050-B1,LD-S000050-L1,ACC2002,USD,24205.34,24205.34,2026-03-18,2026-03-18,REF000050,REF000050,REF000050,REF000050,REF000050,North Ridge Treasury,North Ridge Treasury,Fee - North Ridge Treasury,Fee - North Ridge Treasury
Exact Match,1.0,BK-S000051-B1,LD-S000051-L1,ACC2002,USD,1662.41,1662.41,2026-04-04,2026-04-04,REF000051,REF000051,REF000051,REF000051,REF000051,North Ridge Treasury,North Ridge Treasury,Withdrawal - North Ridge Treasury,Withdrawal - North Ridge Treasury
Exact Match,1.0,BK-S000052-B1,LD-S000052-L1,ACC1001,CAD,18485.08,18485.08,2026-04-08,2026-04-08,REF000052,REF000052,REF000052,REF000052,REF000052,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000053-B1,LD-S000053-L1,ACC1001,CAD,2065.28,2065.28,2026-04-06,2026-04-06,REF000053,REF000053,REF000053,REF000053,REF000053,RBC Banking Services,RBC Banking Services,Interest - RBC Banking Services,Interest - RBC Banking Services
Exact Match,1.0,BK-S000054-B1,LD-S000054-L1,ACC1002,CAD,647.81,647.81,2026-03-28,2026-03-28,REF000054,REF000054,REF000054,REF000054,REF000054,Pinebridge Vendor Services,Pinebridge Vendor Services,Fee - Pinebridge Vendor Services,Fee - Pinebridge Vendor Services
Exact Match,1.0,BK-S000055-B1,LD-S000055-L1,ACC1001,CAD,17005.43,17005.43,2026-03-20,2026-03-20,REF000055,REF000055,REF000055,REF000055,REF000055,Pinebridge Vendor Services,Pinebridge Vendor Services,Withdrawal - Pinebridge Vendor Services,Withdrawal - Pinebridge Vendor Services
Exact Match,1.0,BK-S000056-B1,LD-S000056-L1,ACC3001,CAD,23568.73,23568.73,2026-03-13,2026-03-13,REF000056,REF000056,REF000056,REF000056,REF000056,Evergreen Custody,Evergreen Custody,Wire Out - Evergreen Custody,Wire Out - Evergreen Custody
Exact Match,1.0,BK-S000057-B1,LD-S000057-L1,ACC2002,USD,6044.38,6044.38,2026-03-01,2026-03-01,REF000057,REF000057,REF000057,REF000057,REF000057,Pinebridge Vendor Services,Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services,Deposit - Pinebridge Vendor Services
Exact Match,1.0,BK-S000058-B1,LD-S000058-L1,ACC1002,CAD,24035.97,24035.97,2026-03-31,2026-03-31,REF000058,REF000058,REF000058,REF000058,REF000058,Evergreen Custody,Evergreen Custody,Deposit - Evergreen Custody,Deposit - Evergreen Custody
Exact Match,1.0,BK-S000059-B1,LD-S000059-L1,ACC3001,CAD,3241.29,3241.29,2026-04-10,2026-04-10,REF000059,REF000059,REF000059,REF000059,REF000059,Lakeview Partners,Lakeview Partners,Withdrawal - Lakeview Partners,Withdrawal - Lakeview Partners
Exact Match,1.0,BK-S000060-B1,LD-S000060-L1,ACC1002,CAD,935.54,935.54,2026-03-02,2026-03-02,REF000060,REF000060,REF000060,REF000060,REF000060,Cedar Prime LP,Cedar Prime LP,Wire Out - Cedar Prime LP,Wire Out - Cedar Prime LP
Exact Match,1.0,BK-S000061-B1,LD-S000061-L1,ACC3001,CAD,12865.05,12865.05,2026-04-15,2026-04-15,REF000061,REF000061,REF000061,REF000061,REF000061,Lakeview Partners,Lakeview Partners,Wire Out - Lakeview Partners,Wire Out - Lakeview Partners
Exact Match,1.0,BK-S000062-B1,LD-S000062-L1,ACC1001,CAD,20298.64,20298.64,2026-03-28,2026-03-28,REF000062,REF000062,REF000062,REF000062,REF000062,Summit Client Account,Summit Client Account,Wire In - Summit Client Account,Wire In - Summit Client Account
Exact Match,1.0,BK-S000063-B1,LD-S000063-L1,ACC1001,CAD,17021.87,17021.87,2026-03-09,2026-03-09,REF000063,REF000063,REF000063,REF000063,REF000063,Pinebridge Vendor Services,Pinebridge Vendor Services,Interest - Pinebridge Vendor Services,Interest - Pinebridge Vendor Services
Exact Match,1.0,BK-S000064-B1,LD-S000064-L1,ACC3001,CAD,4819.79,4819.79,2026-04-05,2026-04-05,REF000064,REF000064,REF000064,REF000064,REF000064,Summit Client Account,Summit Client Account,Interest - Summit Client Account,Interest - Summit Client Account
Exact Match,1.0,BK-S000065-B1,LD-S000065-L1,ACC2001,USD,7590.34,7590.34,2026-04-01,2026-04-01,REF000065,REF000065,REF000065,REF000065,REF000065,Cedar Prime LP,Cedar Prime LP,Deposit - Cedar Prime LP,Deposit - Cedar Prime LP
Exact Match,1.0,BK-S000066-B1,LD-S000066-L1,ACC2001,USD,2933.86,2933.86,2026-03-21,2026-03-21,REF000066,REF000066,REF000066,REF000066,REF000066,Evergreen Custody,Evergreen Custody,Fee - Evergreen Custody,Fee - Evergreen Custody
Exact Match,1.0,BK-S000067-B1,LD-S000067-L1,ACC1002,CAD,416.84,416.84,2026-03-14,2026-03-14,REF000067,REF000067,REF000067,REF000067,REF000067,Summit Client Account,Summit Client Account,Withdrawal - Summit Client Account,Withdrawal - Summit Client Account
Exact Match,1.0,BK-S000068-B1,LD-S000068-L1,ACC2002,USD,1468.77,1468.77,2026-04-07,2026-04-07,REF000068,REF000068,REF000068,REF000068,REF000068,RBC Banking Services,RBC Banking Services,Interest - RBC Banking Services,Interest - RBC Banking Services
Exact Match,1.0,BK-S000069-B1,LD-S000069-L1,ACC2001,USD,18631.22,18631.22,2026-03-27,2026-03-27,REF000069,REF000069,REF000069,REF000069,REF000069,Lakeview Partners,Lakeview Partners,Interest - Lakeview Partners,Interest - Lakeview Partners
Exact Match,1.0,BK-S000070-B1,LD-S000070-L1,ACC2002,USD,17052.97,17052.97,2026-03-02,2026-03-02,REF000070,REF000070,REF000070,REF000070,REF000070,RBC Banking Services,RBC Banking Services,Interest - RBC Banking Services,Interest - RBC Banking Services
Exact Match,1.0,BK-S000071-B1,LD-S000071-L1,ACC1002,CAD,404.62,404.62,2026-04-04,2026-04-04,REF000071,REF000071,REF000071,REF000071,REF000071,Bluewater Holdings,Bluewater Holdings,Deposit - Bluewater Holdings,Deposit - Bluewater Holdings
Exact Match,1.0,BK-S000072-B1,LD-S000072-L1,ACC1002,CAD,391.19,391.19,2026-03-12,2026-03-12,REF000072,REF000072,REF000072,REF000072,REF000072,Lakeview Partners,Lakeview Partners,Interest - Lakeview Partners,Interest - Lakeview Partners
Exact Match,1.0,BK-S000073-B1,LD-S000073-L1,ACC2002,USD,2965.75,2965.75,2026-03-27,2026-03-27,REF000073,REF000073,REF000073,REF000073,REF000073,Bluewater Holdings,Bluewater Holdings,Fee - Bluewater Holdings,Fee - Bluewater Holdings
Exact Match,1.0,BK-S000074-B1,LD-S000074-L1,ACC2001,USD,911.56,911.56,2026-04-11,2026-04-11,REF000074,REF000074,REF000074,REF000074,REF000074,Bluewater Holdings,Bluewater Holdings,Wire Out - Bluewater Holdings,Wire Out - Bluewater Holdings
Exact Match,1.0,BK-S000075-B1,LD-S000075-L1,ACC1001,CAD,12365.47,12365.47,2026-03-10,2026-03-10,REF000075,REF000075,REF000075,REF000075,REF000075,Cedar Prime LP,Cedar Prime LP,Deposit - Cedar Prime LP,Deposit - Cedar Prime LP
Exact Match,1.0,BK-S000076-B1,LD-S000076-L1,ACC2001,USD,24129.63,24129.63,2026-03-11,2026-03-11,REF000076,REF000076,REF000076,REF000076,REF000076,Cedar Prime LP,Cedar Prime LP,Fee - Cedar Prime LP,Fee - Cedar Prime LP
Exact Match,1.0,BK-S000077-B1,LD-S000077-L1,ACC3001,CAD,22792.63,22792.63,2026-03-20,2026-03-20,REF000077,REF000077,REF000077,REF000077,REF000077,RBC Banking Services,RBC Banking Services,Wire In - RBC Banking Services,Wire In - RBC Banking Services
Exact Match,1.0,BK-S000078-B1,LD-S000078-L1,ACC1001,CAD,6828.39,6828.39,2026-04-14,2026-04-14,REF000078,REF000078,REF000078,REF000078,REF000078,North Ridge Treasury,North Ridge Treasury,Deposit - North Ridge Treasury,Deposit - North Ridge Treasury
Exact Match,1.0,BK-S000079-B1,LD-S000079-L1,ACC3001,CAD,16876.51,16876.51,2026-03-23,2026-03-23,REF000079,REF000079,REF000079,REF000079,REF000079,Cedar Prime LP,Cedar Prime LP,Wire In - Cedar Prime LP,Wire In - Cedar Prime LP
Exact Match,1.0,BK-S000080-B1,LD-S000080-L1,ACC1001,CAD,914.71,914.71,2026-04-01,2026-04-01,REF000080,REF000080,REF000080,REF000080,REF000080,Summit Client Account,Summit Client Account,Interest - Summit Client Account,Interest - Summit Client Account
Exact Match,1.0,BK-S000081-B1,LD-S000081-L1,ACC1002,CAD,7481.98,7481.98,2026-04-03,2026-04-03,REF000081,REF000081,REF000081,REF000081,REF000081,Summit Client Account,Summit Client Account,Withdrawal - Summit Client Account,Withdrawal - Summit Client Account
Exact Match,1.0,BK-S000082-B1,LD-S000082-L1,ACC3001,CAD,20937.54,20937.54,2026-03-21,2026-03-21,REF000082,REF000082,REF000082,REF000082,REF000082,Cedar Prime LP,Cedar Prime LP,Fee - Cedar Prime LP,Fee - Cedar Prime LP
Exact Match,1.0,BK-S000083-B1,LD-S000083-L1,ACC2002,USD,9073.52,9073.52,2026-04-09,2026-04-09,REF000083,REF000083,REF000083,REF000083,REF000083,Summit Client Account,Summit Client Account,Deposit - Summit Client Account,Deposit - Summit Client Account
Exact Match,1.0,BK-S000084-B1,LD-S000084-L1,ACC1002,CAD,22127.68,22127.68,2026-03-17,2026-03-17,REF000084,REF000084,REF000084,REF000084,REF000084,North Ridge Treasury,North Ridge Treasury,Fee - North Ridge Treasury,Fee - North Ridge Treasury
Exact Match,1.0,BK-S000085-B1,LD-S000085-L1,ACC1002,CAD,12725.87,12725.87,2026-03-16,2026-03-16,REF000085,REF000085,REF000085,REF000085,REF000085,Lakeview Partners,Lakeview Partners,Wire In - Lakeview Partners,Wire In - Lakeview Partners
Exact Match,1.0,BK-S000086-B1,LD-S000086-L1,ACC2002,USD,249.44,249.44,2026-03-02,2026-03-02,REF000086,REF000086,REF000086,REF000086,REF000086,Lakeview Partners,Lakeview Partners,Interest - Lakeview Partners,Interest - Lakeview Partners
Exact Match,1.0,BK-S000087-B1,LD-S000087-L1,ACC2001,USD,11212.09,11212.09,2026-04-05,2026-04-05,REF000087,REF000087,REF000087,REF000087,REF000087,Pinebridge Vendor Services,Pinebridge Vendor Services,Interest - Pinebridge Vendor Services,Interest - Pinebridge Vendor Services
Exact Match,1.0,BK-S000088-B1,LD-S000088-L1,ACC2001,USD,18310.82,18310.82,2026-03-17,2026-03-17,REF000088,REF000088,REF000088,REF000088,REF000088,Pinebridge Vendor Services,Pinebridge Vendor Services,Fee - Pinebridge Vendor Services,Fee - Pinebridge Vendor Services
Exact Match,1.0,BK-S000089-B1,LD-S000089-L1,ACC1002,CAD,7635.99,7635.99,2026-03-14,2026-03-14,REF000089,REF000089,REF000089,REF000089,REF000089,North Ridge Treasury,North Ridge Treasury,Wire Out - North Ridge Treasury,Wire Out - North Ridge Treasury
Exact Match,1.0,BK-S000090-B1,LD-S000090-L1,ACC2001,USD,1339.56,1339.56,2026-03-24,2026-03-24,REF000090,REF000090,REF000090,REF000090,REF000090,Evergreen Custody,Evergreen Custody,Wire Out - Evergreen Custody,Wire Out - Evergreen Custody
Exact Match,1.0,BK-S000091-B1,LD-S000091-L1,ACC3001,CAD,16308.87,16308.87,2026-04-14,2026-04-14,REF000091,REF000091,REF000091,REF000091,REF000091,Summit Client Account,Summit Client Account,Fee - Summit Client Account,Fee - Summit Client Account
Exact Match,1.0,BK-S000092-B1,LD-S000092-L1,ACC3001,CAD,9176.94,9176.94,2026-03-31,2026-03-31,REF000092,REF000092,REF000092,REF000092,REF000092,Bluewater Holdings,Bluewater Holdings,Fee - Bluewater Holdings,Fee - Bluewater Holdings
Exact Match,1.0,BK-S000093-B1,LD-S000093-L1,ACC1001,CAD,14848.51,14848.51,2026-03-26,2026-03-26,REF000093,REF000093,REF000093,REF000093,REF000093,Bluewater Holdings,Bluewater Holdings,Wire In - Bluewater Holdings,Wire In - Bluewater Holdings
Exact Match,1.0,BK-S000094-B1,LD-S000094-L1,ACC2001,USD,738.0,738.0,2026-03-16,2026-03-16,REF000094,REF000094,REF000094,REF000094,REF000094,Lakeview Partners,Lakeview Partners,Wire In - Lakeview Partners,Wire In - Lakeview Partners
Exact Match,1.0,BK-S000095-B1,LD-S000095-L1,ACC2002,USD,8329.13,8329.13,2026-04-07,2026-04-07,REF000095,REF000095,REF000095,REF000095,REF000095,Bluewater Holdings,Bluewater Holdings,Fee - Bluewater Holdings,Fee - Bluewater Holdings
Exact Match,1.0,BK-S000096-B1,LD-S000096-L1,ACC1002,CAD,2948.5,2948.5,2026-03-14,2026-03-14,REF000096,REF000096,REF000096,REF000096,REF000096,Lakeview Partners,Lakeview Partners,Withdrawal - Lakeview Partners,Withdrawal - Lakeview Partners
Exact Match,1.0,BK-S000097-B1,LD-S000097-L1,ACC1002,CAD,15251.47,15251.47,2026-03-27,2026-03-27,REF000097,REF000097,REF000097,REF000097,REF000097,North Ridge Treasury,North Ridge Treasury,Wire In - North Ridge Treasury,Wire In - North Ridge Treasury
Exact Match,1.0,BK-S000098-B1,LD-S000098-L1,ACC2001,USD,260.08,260.08,2026-03-30,2026-03-30,REF000098,REF000098,REF000098,REF000098,REF000098,North Ridge Treasury,North Ridge Treasury,Withdrawal - North Ridge Treasury,Withdrawal - North Ridge Treasury
Exact Match,1.0,BK-S000099-B1,LD-S000099-L1,ACC1002,CAD,16543.23,16543.23,2026-03-08,2026-03-08,REF000099,REF000099,REF000099,REF000099,REF000099,North Ridge Treasury,North Ridge Treasury,Interest - North Ridge Treasury,Interest - North Ridge Treasury
